date,north,middle,south,total,redzone
20190514,0.0282062500000001,0.014234374999999999,0.027603124999999968,0.07004375000000009,0.005443749999999955
20190515,0.032068750000000104,0.021384374999999997,0.026828124999999967,0.08028125000000008,0.006793749999999954
20190516,0.0342187500000001,0.032146875,0.028109374999999968,0.09447500000000009,0.007646874999999954
20190517,0.033715625000000096,0.04815,0.03127499999999997,0.1131406250000001,0.012368749999999954
20190518,0.03131875000000009,0.07055937500000001,0.03539687499999997,0.13727500000000012,0.025053124999999957
20190519,0.028378125000000094,0.09628750000000001,0.03840937499999997,0.1630750000000001,0.04237812499999996
20190520,0.025978125000000095,0.11795000000000003,0.039174999999999974,0.1831031250000001,0.05505312499999995
20190521,0.024981250000000094,0.131334375,0.03850624999999997,0.1948218750000001,0.05909687499999995
20190522,0.025478125000000094,0.13984375,0.03724999999999997,0.2025718750000001,0.06040624999999995
20190523,0.0259312500000001,0.1467125,0.03559374999999997,0.2082375000000001,0.06219687499999996
20190524,0.0246656250000001,0.14863437499999999,0.03429374999999997,0.2075937500000001,0.059049999999999964
20190525,0.0220843750000001,0.14163125,0.034428124999999976,0.1981437500000001,0.05080312499999996
20190526,0.019787500000000097,0.1289125,0.035981249999999965,0.1846812500000001,0.046765624999999963
20190527,0.0183843750000001,0.11882187500000002,0.03757187499999996,0.17477812500000012,0.05018749999999997
20190528,0.017621875000000096,0.11539062500000002,0.03746249999999997,0.1704750000000001,0.05271874999999997
20190529,0.0174312500000001,0.11420625000000001,0.03514062499999997,0.1667781250000001,0.04829374999999997
20190530,0.017656250000000102,0.10775937500000002,0.03190937499999997,0.1573250000000001,0.04091874999999996
20190531,0.0178968750000001,0.095071875,0.02934374999999997,0.14231250000000012,0.036474999999999966
20190601,0.017959375000000097,0.084209375,0.027849999999999972,0.13001875000000013,0.03624999999999996
20190602,0.017818750000000095,0.07969375000000001,0.027056249999999973,0.1245687500000001,0.03802499999999996
20190603,0.017487500000000097,0.07455625000000002,0.02685624999999997,0.11890000000000009,0.037303124999999965
20190604,0.016965625000000095,0.06235625000000001,0.027596874999999972,0.10691875000000009,0.03067499999999997
20190605,0.016484375000000096,0.046681250000000014,0.02901874999999997,0.0921843750000001,0.021174999999999968
20190606,0.017265625000000097,0.034137500000000015,0.03012187499999997,0.0815250000000001,0.014881249999999967
20190607,0.020762500000000097,0.027293750000000016,0.030262499999999973,0.0783187500000001,0.012071874999999965
20190608,0.026612500000000094,0.025731250000000015,0.029046874999999975,0.0813906250000001,0.009996874999999964
20190609,0.03306250000000009,0.028756250000000018,0.026340624999999975,0.0881593750000001,0.010599999999999965
20190610,0.038968750000000094,0.036121875000000025,0.023196874999999974,0.09828750000000008,0.015471874999999965
20190611,0.04380000000000009,0.04704687500000002,0.021443749999999973,0.11229062500000009,0.020178124999999963
20190612,0.04658750000000009,0.06029375000000002,0.022515624999999973,0.1293968750000001,0.021740624999999965
20190613,0.04632187500000009,0.07577812500000002,0.026915624999999974,0.1490156250000001,0.02433437499999997
20190614,0.043825000000000086,0.09609375000000002,0.033809374999999975,0.17372812500000012,0.03391562499999997
20190615,0.04157187500000009,0.12317812500000001,0.04101249999999998,0.20576250000000013,0.050653124999999966
20190616,0.04020937500000009,0.150484375,0.04644062499999997,0.23713437500000015,0.06678749999999997
20190617,0.037768750000000094,0.16615312499999998,0.04964687499999997,0.2535687500000001,0.07425937499999996
20190618,0.03349062500000009,0.1669,0.051018749999999974,0.2514093750000001,0.07374374999999997
20190619,0.029250000000000095,0.160159375,0.05016249999999997,0.23957187500000013,0.07085312499999996
20190620,0.02657500000000009,0.152109375,0.04630937499999997,0.22499375000000013,0.06712499999999996
20190621,0.02504687500000009,0.142875,0.04039062499999997,0.20831250000000012,0.06119999999999996
20190622,0.02387812500000009,0.133840625,0.03551562499999997,0.19323437500000012,0.05559062499999996
20190623,0.023350000000000093,0.12882187499999997,0.033831249999999966,0.18600312500000013,0.05451874999999996
20190624,0.024209375000000095,0.12768749999999998,0.034212499999999965,0.18610937500000013,0.05568749999999996
20190625,0.026593750000000093,0.1270125,0.034493749999999976,0.18810000000000013,0.05341249999999996
20190626,0.030350000000000092,0.12466250000000001,0.03402187499999998,0.18903437500000012,0.04881562499999996
20190627,0.03482500000000009,0.12166875,0.033181249999999975,0.1896750000000001,0.047103124999999954
20190628,0.03796875000000009,0.11975000000000001,0.031865624999999974,0.1895843750000001,0.04836874999999996
20190629,0.03818437500000009,0.115303125,0.02920312499999997,0.1826906250000001,0.048387499999999965
